錼	镎
鎦	镏
鎬	镐
鎊	镑
鎰	镒
鎵	镓
鑌	镔
鎔	镕
鏢	镖
鏜	镗
鏝	镘
鏍	镙
鏰	镚
鏞	镛
鏡	镜
鏑	镝
鏃	镞
鏇	镟
鏐	镠
鐔	镡
钁	镢
鐝	镢
鐐	镣
鏷	镤
鑥	镥
鐓	镦
鑭	镧
鐠	镨
鑹	镩
鏹	镪
鐙	镫
鑊	镬
鐳	镭
鐶	镮
鐲	镯
鐮	镰
鎌	镰
鐿	镱
鑔	镲
鑣	镳
鑞	镴
鑱	镵
鑲	镶
長	长
門	门
閂	闩
閃	闪
閆	闫
閈	闬
閉	闭
問	问
闖	闯
閏	闰
闈	闱
閒	闲
閑	闲
閎	闳
間	间
閔	闵
閌	闶
悶	闷
閘	闸
鬧	闹
閨	闺
聞	闻
闥	闼
閩	闽
閭	闾
闓	闿
閥	阀
閣	阁
閡	阂
閫	阃
鬮	阄
閱	阅
閬	阆
闍	阇
閾	阈
閹	阉
閶	阊
鬩	阋
閿	阌
閽	阍
閻	阎
閼	阏
闡	阐
闌	阑
闃	阒
闠	阓
闊	阔
闋	阕
闔	阖
闐	阗
闒	阘
闕	阙
闞	阚
闤	阛
隊	队
陽	阳
陰	阴
陣	阵
階	阶
際	际
陸	陆
隴	陇
陳	陈
陘	陉
陝	陕
隯	陦
隉	陧
隕	陨
険	险
隠	隐
隷	隶
雋	隽
難	难
僱	雇
雛	雏
鵰	雕
讎	雠
靂	雳
霧	雾
霽	霁
黴	霉
霢	霡
靄	霭
靚	靓
靝	靔
麪	面
靨	靥
韃	鞑
鞽	鞒
韉	鞯
韝	鞲
韋	韦
韌	韧
韍	韨
韓	韩
韙	韪
韞	韫
韜	韬
韻	韵
頁	页
頂	顶
頃	顷
頇	顸
項	项
順	顺
須	须
鬚	须
頊	顼
頑	顽
顧	顾
頓	顿
頎	颀
頒	颁
頌	颂
頏	颃
預	预
顱	颅
領	领
頗	颇
頸	颈
頡	颉
頰	颊
頲	颋
頜	颌
潁	颍
熲	颎
頦	颏
頤	颐
頻	频
頮	颒
頹	颓
頷	颔
頴	颕
穎	颖
顆	颗
題	题
顒	颙
顎	颚
顓	颛
顔	颜
額	额
顳	颞
顢	颟
顛	颠
顙	颡
顥	颢
纇	颣
顫	颤
顬	颥
顰	颦
顴	颧
風	风
颺	飏
颭	飐
颮	飑
颯	飒
颶	飓
颸	飔
颼	飕
颻	飖
飀	飗
飄	飘
飆	飙
飈	飚
飛	飞
饗	飨
饜	餍
飠	饣
飣	饤
飢	饥
饑	饥
飥	饦
餳	饧
飩	饨
餼	饩
飪	饪
飫	饫
飭	饬
飯	饭
飲	饮
餞	饯
飾	饰
飽	饱
飼	饲
飿	饳
飴	饴
餌	饵
饒	饶
餉	饷
餄	饸
餎	饹
餃	饺
餏	饻
餅	饼
餑	饽
餖	饾
餓	饿
余	馀
餒	馁
餕	馂
餜	馃
餛	馄
餡	馅
館	馆
餷	馇
饋	馈
餶	馉
餿	馊
饞	馋
饁	馌
饃	馍
餺	馎
餾	馏
饈	馐
饉	馑
饅	馒
饊	馓
饌	馔
饢	馕
馬	马
馭	驭
馱	驮
馴	驯
馳	驰
駆	驱
馹	驲
駁	驳
驢	驴
駔	驵
駛	驶
駟	驷
駙	驸
駒	驹
騶	驺
駐	驻
駝	驼
駑	驽
駕	驾
駅	驿
駘	骀
驍	骁
罵	骂
駰	骃
驕	骄
驊	骅
駱	骆
駭	骇
駢	骈
驫	骉
驪	骊
騁	骋
験	验
騂	骍
駸	骎
駿	骏
騏	骐
騎	骑
騍	骒
騅	骓
騌	骔
驌	骕
驂	骖
騙	骗
騭	骘
騤	骙
騒	骚
騖	骛
驁	骜
騮	骝
騫	骞
騸	骟
驃	骠
騾	骡
驄	骢
驏	骣
驟	骤
驥	骥
驦	骦
驤	骧
髏	髅
髖	髋
髕	髌
鬢	鬓
鬹	鬶
魘	魇
魎	魉
魚	鱼
魛	鱽
魢	鱾
魷	鱿
魨	鲀
魯	鲁
魴	鲂
䰾	鲃
魺	鲄
鮁	鲅
鮃	鲆
鮎	鲇
鱸	鲈
鮋	鲉
鮓	鲊
鮒	鲋
鮊	鲌
鮑	鲍
鱟	鲎
鮍	鲏
鮐	鲐
鮭	鲑
鮚	鲒
鮳	鲓
鮪	鲔
鮞	鲕
鮦	鲖
鰂	鲗
鮜	鲘
鱠	鲙
鱭	鲚
鮫	鲛
鮮	鲜
鮺	鲝
鯗	鲞
鱘	鲟
鯁	鲠
鱺	鲡
鰱	鲢
鰹	鲣
鯉	鲤
鰣	鲥
鰷	鲦
鯀	鲧
鯊	鲨
鯇	鲩
鮶	鲪
鯽	鲫
鯒	鲬
鯖	鲭
鯪	鲮
鯕	鲯
鯫	鲰
鯡	鲱
鯤	鲲
鯧	鲳
鯝	鲴
鯢	鲵
鮎	鲶
鯰	鲶
鯛	鲷
鯨	鲸
鰺	鲹
鯴	鲺
鯔	鲻
鱝	鲼
鰈	鲽
鰏	鲾
鱨	鲿
鯷	鳀
鰮	鳁
鰛	鳁
鰃	鳂
鰓	鳃
鱷	鳄
鰍	鳅
鰒	鳆
鰉	鳇
鰁	鳈
鱂	鳉
鯿	鳊
鰠	鳋
鰲	鳌
鰭	鳍
鰨	鳎
鰥	鳏
鰩	鳐
鰟	鳑
鰜	鳒
鰳	鳓
鰾	鳔
鱈	鳕
鱉	鳖
鰻	鳗
鰵	鳘
鱅	鳙
䲁	鳚
鰼	鳛
鱖	鳜
鱔	鳝
鱗	鳞
鱒	鳟
鱯	鳠
鱤	鳡
鱧	鳢
鱣	鳣
䲘	鳤
鳥	鸟
鳩	鸠
雞	鸡
鳶	鸢
鳴	鸣
鳲	鸤
鷗	鸥
鴉	鸦
鶬	鸧
鴇	鸨
鴆	鸩
鴣	鸪
鶇	鸫
鸕	鸬
鴨	鸭
鴞	鸮
鴦	鸯
鴒	鸰
鴟	鸱
鴝	鸲
鴛	鸳
鷽	鸴
鴕	鸵
鷥	鸶
鷙	鸷
鴯	鸸
鴰	鸹
鵂	鸺
鴴	鸻
鵃	鸼
鴿	鸽
鸞	鸾
鴻	鸿
鵐	鹀
鵓	鹁
鸝	鹂
鵑	鹃
鵠	鹄
鵝	鹅
鵒	鹆
鷳	鹇
鷴	鹇
鵜	鹈
鵡	鹉
鵲	鹊
鶓	鹋
鵪	鹌
鵾	鹍
鵯	鹎
鵬	鹏
鵮	鹐
鶉	鹑
鶊	鹒
鵷	鹓
鷫	鹔
鶘	鹕
鶡	鹖
鶚	鹗
鶻	鹘
鶖	鹙
鶿	鹚
鶥	鹛
鶩	鹜
鷊	鹝
鷂	鹞
鶲	鹟
鶹	鹠
鶺	鹡
鷁	鹢
鶼	鹣
鶴	鹤
鷖	鹥
鸚	鹦
鷓	鹧
鷚	鹨
鷯	鹩
鷦	鹪
鷲	鹫
鷸	鹬
鷺	鹭
䴉	鹮
鸇	鹯
鷹	鹰
鸌	鹱
鸏	鹲
鸛	鹳
鸘	鹴
鹺	鹾
麩	麸
麴	麹
麪	麺
麼	麽
黃	黄
黌	黉
黶	黡
黷	黩
黲	黪
黽	黾
黿	鼋
鼂	鼌
鼉	鼍
鞀	鼗
鼴	鼹
齇	齄
斉	齐
齏	齑
歯	齿
齔	龀
齕	龁
齗	龂
齟	龃
齢	龄
齙	龅
齠	龆
齜	龇
齦	龈
齬	龉
齪	龊
齲	龋
齷	龌
竜	龙
龔	龚
龕	龛
龜	龟
𠁞	𠀾
儣	𠆲
𠌥	𠆿
俓	𠇹
㒓	𠉂
𠏢	𠉗
𣍐	𠊉
儭	𠋆
𠠎	𠚳
剾	𠛅
𠞆	𠛆
𪟖	𠛾
勑	𠡠
嗰	𠮶
哯	𠯟
噅	𠯠
㘉	𠰱
嚧	𠰷
囃	𠱞
𡅏	𠲥
𡃕	𠴛
𡄔	𠴢
𡄣	𠵸
㗲	𠵾
𡓾	𡋀
𡑭	𡋗
壗	𡋤
𡔖	𡍣
壈	𡒄
㜷	𡝠
㜗	𡞋
㜢	𡞱
孎	𡠟
孻	𡥧
𡮉	𡭜
𡮣	𡭬
𡳳	𡳃
𦘧	𡳒
嵼	𡶴
𡽗	𡸃
嶈	𡺃
嶘	𡺄
㢝	𢋈
㦛	𢗓
𢤱	𢘙
𢣚	𢘝
𢣭	𢘞
愻	𢙏
憹	𢙐
𢠼	𢙑
憢	𢙒
懀	𢙓
㦎	𢛯
懎	𢠁
𤢻	𢢐
戦	𢧐
𢷮	𢫊
𢶫	𢫞
摋	𢫬
擫	𢬍
𢹿	𢬦
擣	𢭏
斅	𢽾
斸	𣃁
曥	𣆐
𣋋	𣈣
𦢈	𣍨
腪	𣍯
脥	𣍰
臗	𣎑
槫	𣏢
桱	𣐕
欍	𣐤
𣠲	𣑶
楇	𣒌
橯	𣓿
樤	𣔌
樠	𣗊
欓	𣗋
㰙	𣗙
㯤	𣘐
𣞻	𣘓
檭	𣘴
𣝕	𣘷
欘	𣚚
𣠩	𣞎
殢	𣨼
𣯴	𣭤
𣯩	𣯣
氭	𣱝
湋	𣲗
潕	𣲘
㵗	𣳆
澅	𣶩
𣿉	𣶫
𪷓	𣶭
𤅶	𣷷
濆	𣸣
灙	𣺼
𤁣	𣺽
瀃	𣽷
熓	𤆡
㷍	𤆢
爄	𤇃
熌	𤇄
爖	𤇭
熚	𤇹
熉	𤈶
㷿	𤈷
𤒎	𤊀
𤓩	𤊰
熡	𤋏
㸇	𤎺
𤑳	𤎻
𤛮	𤙯
𤢟	𤝢
獩	𤞃
玁	𤞤
㺏	𤠋
瓕	𤦀
瓛	𤩽
𤳸	𤳄
癐	𤶊
𤸫	𤶧
㿗	𤻊
㿧	𤽯
皟	𤾀
麬	𤿲
䀉	𥁢
𥌃	𥅘
䀹	𥅴
𥊝	𥅿
瞤	𥆧
䁪	𥇢
䂎	𥎝
礒	𥐟
𥖅	𥐯
𥕥	𥐰
碙	𥐻
𥞵	𥞦
𥨐	𥧂
竚	𥩟
𥪂	𥩺
籅	𥫣
䉙	𥬀
籋	𥬞
篘	𥬠
𥵊	𥭉
𥸠	𥮋
䉲	𥮜
篸	𥮾
𥵃	𥱔
𥼽	𥹥
䊭	𥺅
𥽖	𥺇
𥿊	𦈈
緷	𦈉
綇	𦈋
綀	𦈌
繟	𦈎
緍	𦈏
縺	𦈐
緸	𦈑
𦂅	𦈒
䋿	𦈓
縎	𦈔
緰	𦈕
䌈	𦈖
𦃄	𦈗
䌋	𦈘
䌰	𦈙
縬	𦈚
繓	𦈛
䌖	𦈜
繏	𦈝
䌟	𦈞
䌝	𦈟
䌥	𦈠
繻	𦈡
䍽	𦍠
朥	𦛨
膢	𦝼
𦣎	𦟗
𦪽	𦨩
蓧	𦰏
䕳	𦰴
爇	𦶟
𦾟	𦶻
蘟	𦻕
檾	𦼖
𧕟	𧉐
䗿	𧉞
𧎈	𧌥
蠙	𧏖
蠀	𧏗
蠾	𧑏
𧔥	𧒭
䙱	𧜭
襰	𧝝
𧟀	𧝧
詀	𧮪
𧳟	𧳕
䞈	𧹑
買	𧹒
𧶔	𧹓
賬	𧹔
䝻	𧹕
賟	𧹖
贃	𧹗
𨇁	𧿈
躘	𨀁
𨄣	𨀱
𨅍	𨁴
𨈊	𨂺
𨈌	𨄄
䠱	𨅛
𨇞	𨅫
躝	𨅬
軉	𨉗
軗	𨐅
𨊻	𨐆
𨏠	𨐇
輄	𨐈
𨎮	𨐉
𨏥	𨐊
䢨	𨑹
𨣞	𨟳
𨣧	𨠨
𨢿	𨡙
𨣈	𨡺
𨤻	𨤰
鎷	𨰾
釳	𨰿
𨥛	𨱀
鈠	𨱁
鈋	𨱂
鈲	𨱃
鈯	𨱄
鉁	𨱅
龯	𨱆
銶	𨱇
鋉	𨱈
鍄	𨱉
𨧱	𨱊
錂	𨱋
鏆	𨱌
鎯	𨱍
鍮	𨱎
鎝	𨱏
𨫒	𨱐
鐄	𨱑
鏉	𨱒
鐎	𨱓
鐏	𨱔
𨮂	𨱕
䥩	𨱖
䦳	𨷿
𨳕	𨸀
𨳑	𨸁
閍	𨸂
閐	𨸃
䦘	𨸄
𨴗	𨸅
𨵩	𨸆
𨵸	𨸇
𨶀	𨸉
𨶏	𨸊
𨶲	𨸋
𨶮	𨸌
𨷲	𨸎
𨽏	𨸘
䧢	𨸟
䪏	𩏼
𩏪	𩏽
𩎢	𩏾
䪘	𩏿
䪗	𩐀
顂	𩓋
𩓣	𩖕
顃	𩖖
䫴	𩖗
颰	𩙥
𩗀	𩙦
䬞	𩙧
𩘹	𩙨
𩘀	𩙩
颷	𩙪
颾	𩙫
𩘺	𩙬
𩘝	𩙭
䬘	𩙮
䬝	𩙯
𩙈	𩙰
𩚛	𩟿
𩚥	𩠀
𩚵	𩠁
𩛆	𩠂
𩛩	𩠃
𩟐	𩠅
𩜦	𩠆
䭀	𩠇
䭃	𩠈
𩜇	𩠉
𩜵	𩠊
𩝔	𩠋
餸	𩠌
𩞄	𩠎
𩞦	𩠏
𩠴	𩠠
𩡣	𩡖
𩡺	𩧦
駎	𩧨
𩤊	𩧩
䮾	𩧪
駚	𩧫
𩢡	𩧬
䭿	𩧭
𩢾	𩧮
驋	𩧯
䮝	𩧰
𩥉	𩧱
駧	𩧲
𩢸	𩧳
駩	𩧴
𩢴	𩧵
𩣏	𩧶
𩣫	𩧸
駶	𩧺
𩣵	𩧻
𩣺	𩧼
䮠	𩧿
騔	𩨀
䮞	𩨁
驄	𩨂
騝	𩨃
騪	𩨄
𩤸	𩨅
𩤙	𩨆
䮫	𩨇
騟	𩨈
𩤲	𩨉
騚	𩨊
𩥄	𩨋
𩥑	𩨌
𩥇	𩨍
龭	𩨎
䮳	𩨏
𩧆	𩨐
䯤	𩩈
𩭙	𩬣
𩰀	𩬤
鬖	𩭹
𩯳	𩯒
𩰹	𩰰
𩳤	𩲒
𩴵	𩴌
魥	𩽹
𩵩	𩽺
𩵹	𩽻
鯶	𩽼
𩶱	𩽽
鮟	𩽾
𩶰	𩽿
鮕	𩾀
鯄	𩾁
䲖	𩾂
鮸	𩾃
𩷰	𩾄
𩸃	𩾅
𩸦	𩾆
鯱	𩾇
䱙	𩾈
䱬	𩾊
䱰	𩾋
鱇	𩾌
𩽇	𩾎
䲰	𪉂
鳼	𪉃
𩿪	𪉄
𪀦	𪉅
鴲	𪉆
鴜	𪉈
𪁈	𪉉
鷨	𪉊
𪀾	𪉋
𪁖	𪉌
鵚	𪉍
𪂆	𪉎
𪃏	𪉏
𪃍	𪉐
鷔	𪉑
𪄕	𪉒
𪈼	𪉓
𪄆	𪉔
𪇳	𪉕
䴬	𪎈
麲	𪎉
麨	𪎊
䴴	𪎋
麳	𪎌
𪋿	𪎍
䵳	𪑅
𪔵	𪔭
𪘀	𪚏
𪘯	𪚐
𠿕	𪜎
凙	𪞝
㔋	𪟎
勣	𪟝
𧷎	𪠀
㓄	𪠟
𠬙	𪠡
唓	𪠳
㖮	𪠵
嚛	𪠸
𠽃	𪠺
噹	𪠽
嘺	𪡀
嘪	𪡃
噞	𪡋
嗹	𪡏
㗿	𪡛
嘳	𪡞
𡃄	𪡺
㘓	𪢌
𡃤	𪢐
𡂡	𪢒
嚽	𪢕
𡅯	𪢖
囒	𪢠
圞	𪢮
墲	𪢸
埬	𪣆
堚	𪣒
塿	𪣻
𡓁	𪤄
壣	𪤚
𧹈	𪥠
孇	𪥫
嬣	𪥰
嬻	𪥿
孾	𪧀
寠	𪧘
㞞	𪨊
屩	𪨗
崙	𪨧
𡸗	𪨩
輋	𪨶
巗	𪨷
𡹬	𪨹
㟺	𪩇
巊	𪩎
巘	𪩘
𡿖	𪩛
幝	𪩷
幩	𪩸
廬	𪪏
㢗	𪪑
廧	𪪞
𢍰	𪪴
彃	𪪼
徿	𪫌
𢤩	𪫡
㦞	𪫷
憸	𪫺
𢣐	𪬚
𢤿	𪬯
𢯷	𪭝
摐	𪭢
擟	𪭧
𢶒	𪭯
掚	𪭵
撊	𪭾
㨻	𪮃
㩋	𪮋
撧	𪮖
𢺳	𪮳
攋	𪮶
㪎	𪯋
曊	𪰶
膹	𪱥
梖	𪱷
櫅	𪲎
欐	𪲔
檵	𪲛
櫠	𪲮
欇	𪳍
𣜬	𪳗
欑	𪴙
毊	𪵑
霼	𪵣
濿	𪵱
溡	𪶄
𤄷	𪶒
𣽏	𪶮
㵾	𪷍
灒	𪷽
熂	𪸕
煇	𪸩
𤑹	𪹀
𤓌	𪹠
爥	𪹳
𤒻	𪹹
𤘀	𪺣
𤜆	𪺪
犞	𪺭
獊	𪺷
𤠮	𪺸
㺜	𪺻
猌	𪺽
瑽	𪻐
瓄	𪻨
瑻	𪻲
璝	𪻺
㻶	𪼋
𤬅	𪼴
畼	𪽈
𤳷	𪽝
痮	𪽪
𤷃	𪽭
㿖	𪽮
𤺔	𪽴
瘱	𪽷
盨	𪾔
睍	𪾢
眝	𪾣
矑	𪾦
矉	𪾸
𥏝	𪿊
𥖲	𪿞
礮	𪿫
𥗇	𪿵
𥜰	𫀌
𥜐	𫀓
䅐	𫀨
䅳	𫀬
𥢷	𫀮
䆉	𫁂
竱	𫁟
鴗	𫁡
𥶽	𫁱
䉑	𫁲
𥯤	𫁳
䉶	𫁷
𥴼	𫁺
簢	𫂃
簂	𫂆
䉬	𫂈
𥴨	𫂖
𥻦	𫂿
𩏷	𫃗
糺	𫄙
䊺	𫄚
紟	𫄛
䋃	𫄜
𥾯	𫄝
䋔	𫄞
絁	𫄟
絙	𫄠
絧	𫄡
絥	𫄢
繷	𫄣
繨	𫄤
纚	𫄥
𦀖	𫄦
綖	𫄧
絺	𫄨
䋦	𫄩
𦅇	𫄪
綟	𫄫
緤	𫄬
緮	𫄭
䋼	𫄮
𦃩	𫄯
縍	𫄰
繬	𫄱
縸	𫄲
縰	𫄳
繂	𫄴
𦅈	𫄵
繈	𫄶
繶	𫄷
纁	𫄸
纗	𫄹
䍤	𫅅
羵	𫅗
𦒀	𫅥
䎙	𫅭
𦔖	𫅼
聻	𫆏
𦟼	𫆝
𦡝	𫆫
𦧺	𫇘
艣	𫇛
𦱌	𫇪
蔿	𫇭
蒭	𫇴
蕽	𫇽
蕳	𫈉
葝	𫈎
蔯	𫈟
蕝	𫈵
薆	𫉁
藷	𫉄
䗅	𫊪
蠦	𫊮
蟜	𫊸
𧒯	𫊹
蟳	𫊻
蟂	𫋇
蟘	𫋌
䙔	𫋲
襗	𫋷
襓	𫋹
襘	𫋻
襀	𫌀
襵	𫌇
𧞫	𫌋
覼	𫌨
覛	𫌪
𧡴	𫌫
𧢄	𫌬
覹	𫌭
䚩	𫌯
𧭹	𫍐
訑	𫍙
訞	𫍚
訜	𫍛
詓	𫍜
諫	𫍝
𧦝	𫍞
𧦧	𫍟
䛄	𫍠
詑	𫍡
譊	𫍢
詷	𫍣
譑	𫍤
誂	𫍥
譨	𫍦
誺	𫍧
誫	𫍨
諣	𫍩
誋	𫍪
䛳	𫍫
誷	𫍬
𧩕	𫍭
誳	𫍮
諴	𫍯
諰	𫍰
諯	𫍱
謏	𫍲
諥	𫍳
謱	𫍴
謸	𫍵
𧩼	𫍶
謉	𫍷
謆	𫍸
謯	𫍹
𧫝	𫍺
譆	𫍻
𧬤	𫍼
譞	𫍽
𧭈	𫍾
譾	𫍿
豵	𫎆
貗	𫎌
贚	𫎦
䝭	𫎧
𧸘	𫎨
賝	𫎩
䞋	𫎪
贉	𫎫
贑	𫎬
䞓	𫎭
䟐	𫎱
䟆	𫎳
𧽯	𫎸
䟃	𫎺
䠆	𫏃
蹳	𫏆
蹻	𫏋
𨂐	𫏌
蹔	𫏐
𨇽	𫏑
𨆪	𫏕
𨇰	𫏞
𨇤	𫏨
軏	𫐄
軕	𫐅
轣	𫐆
軜	𫐇
軷	𫐈
軨	𫐉
軬	𫐊
𨎌	𫐋
軿	𫐌
𨌈	𫐍
輢	𫐎
輖	𫐏
輗	𫐐
輨	𫐑
輷	𫐒
輮	𫐓
𨍰	𫐔
轊	𫐕
轇	𫐖
轐	𫐗
轗	𫐘
轠	𫐙
遱	𫐷
鄟	𫑘
鄳	𫑡
醶	𫑷
釟	𫓥
釨	𫓦
鈇	𫓧
鈛	𫓨
鏦	𫓩
鈆	𫓪
𨥟	𫓫
鉔	𫓬
鉠	𫓭
𨪕	𫓮
銈	𫓯
銊	𫓰
鐈	𫓱
銁	𫓲
𨰋	𫓳
鉾	𫓴
鋠	𫓵
鋗	𫓶
𫒡	𫓷
錽	𫓸
錤	𫓹
鐪	𫓺
錜	𫓻
𨨛	𫓼
錝	𫓽
錥	𫓾
𨨢	𫓿
鍊	𫔀
鐼	𫔁
鍉	𫔂
𨰲	𫔃
鍒	𫔄
鎍	𫔅
䥯	𫔆
鎞	𫔇
鎙	𫔈
𨰃	𫔉
鏥	𫔊
䥗	𫔋
鏾	𫔌
鐇	𫔍
鐍	𫔎
𨬖	𫔏
𨭸	𫔐
𨭖	𫔑
𨮳	𫔒
𨯟	𫔓
鑴	𫔔
𨰥	𫔕
𨲳	𫔖
開	𫔭
閒	𫔮
閗	𫔯
閞	𫔰
𨴹	𫔲
閵	𫔴
䦯	𫔵
闑	𫔶
𨼳	𫔽
𩀨	𫕚
霣	𫕥
𩅙	𫕨
靧	𫖃
䪊	𫖅
鞾	𫖇
𩎖	𫖑
韠	𫖒
𩏂	𫖓
韛	𫖔
韝	𫖕
𩏠	𫖖
𩑔	𫖪
䪴	𫖫
䪾	𫖬
𩒎	𫖭
顗	𫖮
頫	𫖯
䫂	𫖰
䫀	𫖱
䫟	𫖲
頵	𫖳
𩔳	𫖴
𩓥	𫖵
顅	𫖶
𩔑	𫖷
願	𫖸
顣	𫖹
䫶	𫖺
䫻	𫗇
𩗓	𫗈
𩗴	𫗉
䬓	𫗊
飋	𫗋
𩟗	𫗚
飦	𫗞
䬧	𫗟
餦	𫗠
𩚩	𫗡
飵	𫗢
飶	𫗣
𩛌	𫗤
餫	𫗥
餔	𫗦
餗	𫗧
𩛡	𫗨
饠	𫗩
餧	𫗪
餬	𫗫
餪	𫗬
餵	𫗭
餭	𫗮
餱	𫗯
䭔	𫗰
䭑	𫗱
𩝽	𫗳
饘	𫗴
饟	𫗵
馯	𫘛
馼	𫘜
駃	𫘝
駞	𫘞
駊	𫘟
駤	𫘠
駫	𫘡
駻	𫘣
騃	𫘤
騉	𫘥
騊	𫘦
騄	𫘧
騠	𫘨
騜	𫘩
騵	𫘪
騴	𫘫
騱	𫘬
騻	𫘭
䮰	𫘮
驓	𫘯
驙	𫘰
驨	𫘱
鬠	𫘽
𩯁	𫙂
鱮	𫚈
魟	𫚉
鰑	𫚊
鱄	𫚋
魦	𫚌
魵	𫚍
𩶁	𫚎
䱁	𫚏
䱀	𫚐
鮅	𫚑
鮄	𫚒
鮤	𫚓
鮰	𫚔
鰤	𫚕
鮆	𫚖
鮯	𫚗
𩻮	𫚘
鯆	𫚙
鮿	𫚚
鮵	𫚛
䲅	𫚜
𩸄	𫚝
鯬	𫚞
𩸡	𫚟
䱧	𫚠
鯞	𫚡
鰋	𫚢
鯾	𫚣
鰦	𫚤
鰕	𫚥
鰫	𫚦
鰽	𫚧
𩻗	𫚨
𩻬	𫚩
鱊	𫚪
鱢	𫚫
𩼶	𫚬
鱲	𫚭
鳽	𫛚
鳷	𫛛
鴀	𫛜
鴅	𫛝
鴃	𫛞
鸗	𫛟
𩿤	𫛠
鴔	𫛡
鸋	𫛢
鴥	𫛣
鴐	𫛤
鵊	𫛥
鴮	𫛦
𪀖	𫛧
鵧	𫛨
鴳	𫛩
鴽	𫛪
鶰	𫛫
䳜	𫛬
鵟	𫛭
䳤	𫛮
鶭	𫛯
䳢	𫛰
鵫	𫛱
鵰	𫛲
鵩	𫛳
鷤	𫛴
鶌	𫛵
鶒	𫛶
鶦	𫛷
鶗	𫛸
𪃧	𫛹
䳧	𫛺
𪃒	𫛻
䳫	𫛼
鷅	𫛽
𪆷	𫛾
鷐	𫜀
鷩	𫜁
𪅂	𫜂
鷣	𫜃
鷷	𫜄
䴋	𫜅
𪉸	𫜊
麷	𫜑
䴱	𫜒
𪌭	𫜓
䴽	𫜔
𪍠	𫜕
䵴	𫜙
𪓰	𫜟
䶕	𫜨
齧	𫜩
齩	𫜪
𫜦	𫜫
齰	𫜬
齭	𫜭
齴	𫜮
𪙏	𫜯
齾	𫜰
龓	𫜲
䶲	𫜳
㑮	𫝈
𠐊	𫝋
㛝	𫝦
㜐	𫝧
媈	𫝨
嬦	𫝩
𡟫	𫝪
婡	𫝫
嬇	𫝬
孆	𫝭
孄	𫝮
嶹	𫝵
𦠅	𫞅
潣	𫞗
澬	𫞚
㶆	𫞛
灍	𫞝
爧	𫞠
爃	𫞡
𤛱	𫞢
㹽	𫞣
珼	𫞥
璾	𫞦
𤩂	𫞧
璼	𫞨
璊	𫞩
𥢶	𫞷
絍	𫟃
綋	𫟄
綡	𫟅
緟	𫟆
𦆲	𫟇
䖅	𫟑
䕤	𫟕
訨	𫟞
詊	𫟟
譂	𫟠
誴	𫟡
䜖	𫟢
䡐	𫟤
䡩	𫟥
䡵	𫟦
𨞺	𫟫
𨟊	𫟬
釚	𫟲
釲	𫟳
鈖	𫟴
鈗	𫟵
銏	𫟶
鉝	𫟷
鉽	𫟸
鉷	𫟹
䤤	𫟺
銂	𫟻
鐽	𫟼
𨧰	𫟽
𨩰	𫟾
鎈	𫟿
䥄	𫠀
鑉	𫠁
閝	𫠂
韚	𫠅
頍	𫠆
𩖰	𫠇
䫾	𫠈
䮄	𫠊
騼	𫠋
𩦠	𫠌
𩵦	𫠏
魽	𫠐
䱸	𫠑
鱆	𫠒
𩿅	𫠖
齯	𫠜
