嫗	妪
嬀	妫
姍	姗
薑	姜
奼	姹
婁	娄
婭	娅
嬈	娆
嬌	娇
孌	娈
嬢	娘
娛	娱
媧	娲
嫺	娴
嫻	娴
嫿	婳
嬰	婴
嬋	婵
嬸	婶
媼	媪
嬃	媭
嬡	嫒
嬪	嫔
嬙	嫱
嬤	嬷
孫	孙
孿	孪
寧	宁
甯	宁
実	实
寵	宠
審	审
憲	宪
宮	宫
傢	家
寬	宽
賓	宾
対	对
尋	寻
導	导
爾	尔
塵	尘
嘗	尝
嚐	尝
堯	尧
尷	尴
屍	尸
儘	尽
侷	局
層	层
屓	屃
屜	屉
屢	屡
屨	屦
嶼	屿
歲	岁
豈	岂
嶇	岖
崗	岗
峴	岘
嶴	岙
嵐	岚
島	岛
巖	岩
嶺	岭
崬	岽
巋	岿
嶨	峃
嶧	峄
嶢	峣
嶠	峤
崢	峥
巒	峦
峯	峰
嶗	崂
崍	崃
嶮	崄
嶄	崭
嶸	嵘
嶔	嵚
嶁	嵝
巔	巅
鉅	巨
鞏	巩
巰	巯
幣	币
佈	布
帥	帅
師	师
幃	帏
帳	帐
簾	帘
幟	帜
帯	带
幀	帧
蓆	席
幫	帮
幬	帱
幘	帻
幗	帼
冪	幂
襆	幞
幹	干
乾	干
並	并
併	并
倖	幸
広	广
荘	庄
慶	庆
牀	床
廬	庐
廡	庑
庫	库
応	应
廟	庙
龐	庞
廃	废
菴	庵
廎	庼
廩	廪
開	开
異	异
棄	弃
弒	弑
張	张
彌	弥
瀰	弥
絃	弦
弳	弪
彎	弯
弾	弹
強	强
帰	归
噹	当
錄	录
彔	录
彠	彟
彥	彦
彲	彨
綵	彩
徹	彻
徵	征
徠	徕
禦	御
憶	忆
懺	忏
誌	志
憂	忧
唸	念
愾	忾
懐	怀
態	态
慫	怂
憮	怃
慪	怄
悵	怅
愴	怆
憐	怜
総	总
懟	怼
懌	怿
卹	恤
懇	恳
悪	恶
噁	恶
慟	恸
懨	恹
愷	恺
惻	恻
悩	恼
惲	恽
悅	悦
愨	悫
懸	悬
慳	悭
悞	悮
憫	悯
驚	惊
懼	惧
懲	惩
憊	惫
愜	惬
慚	惭
憚	惮
慣	惯
癒	愈
慍	愠
憤	愤
憒	愦
願	愿
懾	慑
憖	慭
懣	懑
懶	懒
懍	懔
戇	戆
戔	戋
戯	戏
戧	戗
戦	战
慼	戚
鏚	戚
戩	戬
戱	戯
戶	户
纔	才
紮	扎
撲	扑
託	托
釦	扣
執	执
拡	扩
捫	扪
掃	扫
揚	扬
擾	扰
摺	折
撫	抚
拋	抛
摶	抟
摳	抠
掄	抡
搶	抢
護	护
報	报
擡	抬
牴	抵
柺	拐
擬	拟
攏	拢
揀	拣
擁	拥
攔	拦
擰	拧
撥	拨
択	择
掛	挂
摯	挚
攣	挛
掗	挜
撾	挝
撻	挞
撓	挠
擋	挡
撟	挢
掙	挣
擠	挤
揮	挥
撏	挦
捱	挨
輓	挽
挩	捝
撈	捞
損	损
撿	捡
換	换
搗	捣
拠	据
擄	掳
摑	掴
擲	掷
撣	掸
摻	掺
摜	掼
攬	揽
搵	揾
撳	揿
攙	搀
擱	搁
摟	搂
揯	搄
攪	搅
蒐	捜
攜	携
摂	摄
攄	摅
擺	摆
襬	摆
揺	摇
擯	摈
攤	摊
攖	撄
撐	撑
攆	撵
擷	撷
擼	撸
攛	撺
㩵	擜
擻	擞
攢	攒
敵	敌
敓	敚
斂	敛
斆	敩
斎	斋
斕	斓
鬥	斗
斬	斩
無	无
時	时
曠	旷
暘	旸
崑	昆
曇	昙
暱	昵
曨	昽
顕	显
晉	晋
曬	晒
暁	晓
曄	晔
暈	晕
暉	晖
暫	暂
𣈶	暅
闇	暗
曖	暧
麴	曲
術	术
朮	术
硃	朱
樸	朴
機	机
殺	杀
雑	杂
権	权
桿	杆
槓	杠
楊	杨
榪	杩
盃	杯
傑	杰
鬆	松
闆	板
極	极
構	构
樅	枞
棗	枣
櫪	枥
梘	枧
棖	枨
槍	枪
楓	枫
梟	枭
櫃	柜
檸	柠
檉	柽
梔	栀
柵	栅
標	标
桟	栈
櫛	栉
櫳	栊
棟	栋
櫨	栌
櫟	栎
欄	栏
樹	树
棲	栖
慄	栗
様	样
覈	核
欒	栾
椏	桠
橈	桡
楨	桢
檔	档
榿	桤
橋	桥
樺	桦
檜	桧
槳	桨
樁	桩
樳	桪
樑	梁
夢	梦
檮	梼
棶	梾
槤	梿
検	检
梲	棁
櫺	棂
欞	棂
槨	椁
